input_file	job_id	status	polls	t_submit	t_latest_poll	job_duration
YP_498614.1_dQPxdFE.faa	iprscan5-R20230513-153131-0539-42087618-p1m	completed	2	2023-05-13 10:31:33.696072	2023-05-13 10:33:35.964444	122s
YP_498615.1_0VELriR.faa	iprscan5-R20230513-153133-0896-15148380-p1m	completed	3	2023-05-13 10:31:36.154213	2023-05-13 10:34:03.307241	147s
YP_498616.1_g1j1I7R.faa	iprscan5-R20230513-153136-0395-5104770-p2m	completed	1	2023-05-13 10:31:38.612249	2023-05-13 10:32:31.86242	53s
YP_498617.1_nLmic16.faa	iprscan5-R20230513-153138-0861-46540201-p2m	completed	1	2023-05-13 10:31:41.069888	2023-05-13 10:32:32.885977	51s
YP_498618.1_QTvif4D.faa	iprscan5-R20230513-153141-0518-15441507-p2m	completed	1	2023-05-13 10:31:43.834137	2023-05-13 10:32:33.666231	49s
YP_498619.1_GVRUxmD.faa	iprscan5-R20230513-153144-0031-86931091-p1m	completed	2	2023-05-13 10:31:46.291376	2023-05-13 10:33:38.629411	112s
YP_498620.1_BK67Gvf.faa	iprscan5-R20230513-153146-0526-65048024-p2m	completed	1	2023-05-13 10:31:48.623111	2023-05-13 10:32:37.391689	48s
YP_498621.1_G2fHvke.faa	iprscan5-R20230513-153148-0864-5953618-p2m	completed	1	2023-05-13 10:31:51.001869	2023-05-13 10:32:38.612449	47s
YP_498622.1_rKuX1EZ.faa	iprscan5-R20230513-153151-0334-72002548-p2m	completed	1	2023-05-13 10:31:53.569244	2023-05-13 10:32:39.644094	46s
YP_498623.1_50JerVl.faa	iprscan5-R20230513-153153-0812-83299525-p1m	completed	3	2023-05-13 10:31:56.123031	2023-05-13 10:34:04.943005	128s
YP_498624.1_UZtyrZo.faa	iprscan5-R20230513-153156-0378-15647587-p2m	completed	1	2023-05-13 10:31:58.579495	2023-05-13 10:32:41.794945	43s
YP_498625.1_6QXcVTY.faa	iprscan5-R20230513-153158-0916-83113187-p1m	completed	4	2023-05-13 10:32:01.344191	2023-05-13 10:34:26.960246	145s
YP_498626.1_8i2yhG1.faa	iprscan5-R20230513-153201-0696-35730533-p2m	completed	1	2023-05-13 10:32:03.904501	2023-05-13 10:32:44.668702	40s
YP_498627.1_eVqE65Z.faa	iprscan5-R20230513-153204-0250-9372366-p1m	completed	6	2023-05-13 10:32:06.362042	2023-05-13 10:34:56.458287	170s
YP_498628.1_2mfnM23.faa	iprscan5-R20230513-153206-0601-33236909-p2m	completed	1	2023-05-13 10:32:08.755332	2023-05-13 10:32:46.915193	38s
YP_498629.1_KJ1Jo17.faa	iprscan5-R20230513-153208-0974-47599395-p1m	completed	7	2023-05-13 10:32:11.176446	2023-05-13 10:35:05.668928	174s
YP_498630.1_WaNJGyZ.faa	iprscan5-R20230513-153211-0383-16475154-p1m	completed	6	2023-05-13 10:32:13.633991	2023-05-13 10:34:59.114028	165s
YP_498631.1_NZbBSPC.faa	iprscan5-R20230513-153256-0033-1569877-p1m	completed	4	2023-05-13 10:32:58.177139	2023-05-13 10:34:49.387523	111s
YP_498632.1_JZG5Whj.faa	iprscan5-R20230513-153258-0398-15413045-p1m	completed	4	2023-05-13 10:33:00.635691	2023-05-13 10:34:50.533419	109s
YP_498633.1_OPOD0mY.faa	iprscan5-R20230513-153301-0066-35504836-p2m	completed	1	2023-05-13 10:33:03.397357	2023-05-13 10:33:47.230431	43s
YP_498634.1_2N2O2bI.faa	iprscan5-R20230513-153303-0812-78094866-p2m	completed	1	2023-05-13 10:33:05.958983	2023-05-13 10:33:48.253396	42s
YP_498635.1_VG7xRha.faa	iprscan5-R20230513-153306-0152-83593513-p1m	completed	3	2023-05-13 10:33:08.340538	2023-05-13 10:34:33.479137	85s
YP_498636.1_aRQPOjv.faa	iprscan5-R20230513-153308-0605-77509633-p1m	completed	3	2023-05-13 10:33:10.772533	2023-05-13 10:34:34.539625	83s
YP_498637.1_F9UPSS5.faa	iprscan5-R20230513-153311-0022-11303917-p2m	completed	1	2023-05-13 10:33:13.127146	2023-05-13 10:33:51.633151	38s
YP_498638.1_kYkbktn.faa	iprscan5-R20230513-153313-0345-55184141-p1m	completed	3	2023-05-13 10:33:15.687526	2023-05-13 10:34:35.665563	79s
YP_498639.1_GYB815A.faa	iprscan5-R20230513-153316-0075-56756314-p1m	completed	3	2023-05-13 10:33:18.452517	2023-05-13 10:34:36.484425	78s
YP_498640.1_1KO6prL.faa	iprscan5-R20230513-153318-0755-58576236-p2m	completed	2	2023-05-13 10:33:20.910041	2023-05-13 10:34:17.438756	56s
YP_498641.1_r0K6ku0.faa	iprscan5-R20230513-153321-0116-88628702-p1m	completed	3	2023-05-13 10:33:23.264983	2023-05-13 10:34:37.815226	74s
YP_498642.1_LEWVFsK.faa	iprscan5-R20230513-153323-0463-55148077-p1m	completed	3	2023-05-13 10:33:25.825409	2023-05-13 10:34:39.248259	73s
